frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
255,4.4726,5.6571,0.0352,0.2032,6.0279
256,6.1797,6.4634,0.0266,0.3037,6.9141
257,6.9666,5.9965,0.0358,0.1346,6.2970
258,6.3682,6.4249,0.0249,0.1940,6.7573
259,6.8927,6.4783,0.0275,0.2515,6.8591
260,6.8998,6.5754,0.0261,0.2165,6.9224
261,7.0224,6.5664,0.0281,0.1892,6.8848
262,6.9365,6.7084,0.0287,0.1908,7.0918
263,7.1352,6.5426,0.0254,0.1283,6.8027
264,6.9058,6.7958,0.0281,0.1302,7.0903
265,7.1324,6.5434,0.0598,0.0823,6.8289
266,6.8748,6.4480,0.0245,0.2858,6.8615
267,6.9224,6.5935,0.0250,0.1916,6.9092
268,6.9522,6.9170,0.0236,0.1676,7.2320
269,7.2732,6.3480,0.0271,0.1875,6.6834
270,6.7300,6.4602,0.0277,0.0741,6.7043
271,6.7433,6.6690,0.0297,0.2230,7.0347
272,7.0890,6.4379,0.0413,0.1152,6.7336
273,6.8050,6.7218,0.0277,0.4373,7.3236
274,7.3968,6.1288,0.0242,0.2023,6.4792
275,6.5440,6.5072,0.0224,0.1869,6.8328
276,6.8994,6.3965,0.0274,0.1536,6.6939
277,6.7471,6.7862,0.0313,0.1811,7.1208
278,7.2303,6.3931,0.0275,0.1865,6.7181
279,6.7649,6.5089,0.0226,0.2623,6.8969
280,6.9379,6.3362,0.0248,0.2051,6.6664
281,6.7110,6.7359,0.0314,0.1995,7.0869
282,7.1399,6.4904,0.0263,0.2020,6.8251
283,7.1326,6.3675,0.0464,0.1674,6.7208
284,6.9453,7.2895,0.0327,0.2113,7.6677
285,7.7241,6.6352,0.0226,0.2017,6.9899
286,7.0336,6.1081,0.0337,0.1633,6.4319
287,6.4905,5.9729,0.0395,0.1836,6.3028
288,6.3515,6.5627,0.0308,0.1451,6.8487
289,6.8880,6.6191,0.0217,0.2251,6.9555
290,7.0014,6.6521,0.0225,0.2064,6.9852
291,7.0255,7.0180,0.0606,0.2023,7.3904
292,7.4539,6.0234,0.0679,0.1083,6.3809
293,6.4216,6.8668,0.0269,0.0821,7.0893
294,7.1311,6.3252,0.0255,0.2262,6.7146
295,6.7626,6.6155,0.0219,0.1597,6.8902
296,6.9294,9.5595,0.0554,0.2238,10.1044
297,10.1818,5.2662,0.0448,0.2397,5.7627
298,5.8488,4.6633,0.0375,0.1719,4.9919
299,5.0491,6.6063,0.0348,0.0818,6.8670
300,6.9160,6.3090,0.0255,0.2687,6.7504
301,6.8042,6.3137,0.0380,0.1739,6.6408
302,6.6996,6.7476,0.0301,0.2201,7.1028
303,7.1519,6.2688,0.0442,0.1894,6.6207
304,6.6781,6.5923,0.0224,0.2099,6.9251
305,7.0100,6.8604,0.0241,0.1889,7.1659
306,7.2108,6.6261,0.0236,0.1493,6.8844
307,6.9527,6.5768,0.0249,0.1724,6.8830
308,6.9371,6.4784,0.0256,0.1910,6.7981
309,6.8415,6.5518,0.0215,0.1869,6.8512
310,6.8899,6.6861,0.0413,0.2247,7.1157
311,7.1633,6.5384,0.0259,0.1545,6.8213
312,6.8923,6.4215,0.0253,0.1695,6.7657
313,6.8059,6.6522,0.0252,0.1297,6.9540
314,6.9974,6.4812,0.0291,0.3261,6.9397
315,7.0108,6.8579,0.0906,0.1255,7.2121
316,7.2901,6.0910,0.1034,0.1225,6.5319
317,6.6230,6.4133,0.0250,0.2340,6.7972
318,6.8781,6.2569,0.0225,0.2166,6.5873
319,6.6712,6.7606,0.0302,0.1715,7.0872
320,7.1352,6.5024,0.0299,0.0773,6.7358
321,6.7773,6.6916,0.0231,0.2164,7.0371
322,7.1464,6.5833,0.0233,0.1390,6.8337
323,6.8773,6.5072,0.0271,0.2160,6.8456
324,6.8867,7.0999,0.0365,0.1161,7.3732
325,7.4611,6.0344,0.0355,0.2600,6.4468
326,6.5587,6.9624,0.0307,0.2004,7.2961
327,7.3562,6.4567,0.0333,0.1051,6.7049
328,6.7533,6.7474,0.0307,0.0858,6.9759
329,7.0355,6.8955,0.0328,0.0861,7.1251
330,7.1797,5.9249,0.0471,0.2173,6.3169
331,6.4238,6.3347,0.0242,0.2096,6.6802
332,6.7257,6.4772,0.0250,0.1855,6.7818
333,6.8241,6.8168,0.0238,0.2048,7.1547
334,7.2454,6.5487,0.0323,0.1531,6.8336
335,6.9622,6.2206,0.0549,0.1752,6.5474
336,6.5883,6.8311,0.0224,0.2196,7.1662
337,7.2033,6.6769,0.0336,0.1115,6.9462
338,7.0231,6.5280,0.0239,0.1965,6.8863
339,6.9335,9.5796,0.1231,0.2180,10.0659
340,10.1415,5.0474,0.0440,0.1116,5.3642
341,5.4364,5.4248,0.0343,0.2071,5.7876
342,5.8369,6.1113,0.0260,0.2166,6.4585
343,6.5194,6.1785,0.0237,0.1584,6.4633
344,6.5070,6.6586,0.0296,0.2054,7.0034
345,7.0612,6.4242,0.0256,0.1859,6.7564
346,6.8046,6.8226,0.0422,0.2103,7.2098
347,7.2784,6.4276,0.0418,0.1577,6.7375
348,6.7985,6.7786,0.0753,0.2268,7.1963
349,7.3731,6.7259,0.0389,0.1463,7.0295
350,7.1350,6.2086,0.0433,0.1100,6.5235
351,6.5952,6.5647,0.0423,0.1118,6.8690
352,6.9470,6.4651,0.0405,0.2112,6.8532
353,6.9226,6.2140,0.0321,0.2008,6.5975
354,6.6495,6.7230,0.0364,0.1025,7.0200
355,7.1260,6.6844,0.0355,0.1622,7.0085
356,7.0653,6.2631,0.0316,0.1859,6.5962
357,6.6524,6.7999,0.0377,0.1040,7.0724
358,7.1354,6.3689,0.0288,0.2030,6.7157
359,6.7615,6.4903,0.0364,0.1997,6.8616
360,7.0014,6.4218,0.0239,0.2009,6.7613
361,6.8036,6.8268,0.0236,0.1594,7.1143
362,7.1645,6.7188,0.0283,0.1132,6.9756
363,7.0219,6.6226,0.0252,0.0814,6.8219
364,6.8943,6.5263,0.0273,0.0787,6.7607
365,6.8050,7.0779,0.0264,0.0821,7.2806
366,7.3221,6.4164,0.0292,0.0876,6.7146
367,6.7540,6.8062,0.0285,0.0932,7.0377
368,7.1117,6.8081,0.0364,0.1857,7.1744
369,7.2659,6.5877,0.0304,0.0943,6.8301
370,6.8853,6.1458,0.0273,0.2326,6.5119
371,6.5607,6.6427,0.0223,0.0761,6.8622
372,6.9035,7.0311,0.0318,0.1116,7.2992
373,7.3679,6.1696,0.0337,0.2519,6.5827
374,6.7118,6.5156,0.0332,0.1130,6.8366
375,6.9091,6.2800,0.0732,0.0896,6.5839
376,6.6340,6.4338,0.0245,0.1888,6.7918
377,6.8380,6.8947,0.0716,0.0939,7.1776
378,7.2241,6.3864,0.0279,0.1677,6.7671
379,6.8082,6.4648,0.0259,0.1816,6.8518
380,6.8948,6.6516,0.0249,0.1373,6.9713
381,7.0162,6.6574,0.0256,0.1538,6.9922
382,7.0303,14.6820,0.0489,0.1144,15.1934
383,15.2822,4.9946,0.0656,0.1092,5.3954
384,5.4465,6.7921,0.0263,0.0866,7.0591
385,7.0993,6.3644,0.0264,0.2365,6.7919
386,6.8847,6.4925,0.0284,0.2292,6.9259
387,6.9742,6.4835,0.0403,0.2384,6.9343
388,7.0277,6.6373,0.0261,0.1966,7.0209
389,7.0904,5.9510,0.0280,0.2559,6.4009
390,6.4418,6.4790,0.0249,0.1568,6.8083
391,6.8472,6.5853,0.0401,0.2204,7.0190
392,7.0655,6.5341,0.0392,0.1501,6.8966
393,7.0586,6.3201,0.0422,0.1879,6.7200
394,6.8624,6.2942,0.0496,0.1685,6.7040
395,6.7711,6.5902,0.0300,0.2233,7.0349
396,7.0928,6.2702,0.0258,0.2200,6.6777
397,6.7969,6.7212,0.0354,0.1543,7.1124
398,7.1711,6.5911,0.0424,0.1468,6.9873
399,7.0495,6.3059,0.0290,0.2612,6.7689
400,6.8382,6.5920,0.0313,0.1748,6.9751
401,7.0296,6.4379,0.0672,0.1297,6.8310
402,6.9345,6.1582,0.0294,0.1989,6.5765
403,6.6436,6.4008,0.0355,0.1436,6.8016
404,6.8498,6.6724,0.0265,0.2272,7.1118
405,7.1528,6.4879,0.0262,0.1933,6.9038
406,6.9556,6.4263,0.0228,0.1777,6.8170
407,6.8552,6.5922,0.0281,0.2022,6.9746
408,7.0179,6.5046,0.0259,0.2161,6.9036
409,6.9445,6.5130,0.0277,0.1550,6.8916
410,6.9402,6.8023,0.0342,0.1105,7.1018
411,7.1459,6.5245,0.0221,0.0767,6.7727
412,6.8170,6.5038,0.0335,0.1776,6.8690
