frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
376,5.5384,0.0172,0.9651,0.0865,1.1710
377,1.2146,0.0142,5.5607,0.1035,5.7921
378,5.8701,0.0251,0.8341,0.0814,1.1594
379,1.2183,0.0218,5.3456,0.1110,5.6390
380,5.7782,0.0278,0.8874,0.0964,1.2130
381,1.2710,0.0542,5.1493,0.0995,5.4721
382,5.5300,0.0426,0.9118,0.1114,1.2208
383,1.2701,0.0225,5.3309,0.1012,5.6560
384,5.7212,0.0209,0.8508,0.0997,1.1729
385,1.2279,0.0478,5.3680,0.1226,5.7459
386,5.9467,0.0292,0.8771,0.0969,1.2313
387,1.3096,0.0228,4.9868,0.0826,5.2892
388,5.3493,0.0176,0.8735,0.0677,1.1402
389,1.1807,0.0142,5.4491,0.0807,5.7244
390,5.7859,0.0185,0.9050,0.0954,1.1904
391,1.2480,0.0451,5.3211,0.1146,5.6498
392,5.7943,0.0290,0.8159,0.0584,1.0729
393,1.1225,0.0152,5.3990,0.0983,5.7002
394,5.7643,0.0239,0.8375,0.0805,1.2489
395,1.3314,0.0266,5.2152,0.1158,5.5877
396,5.7082,0.0257,0.8663,0.0732,1.2036
397,1.2556,0.0201,5.2029,0.0995,5.4974
398,5.5658,0.0295,0.9212,0.0868,1.2260
399,1.2779,0.0221,5.3396,0.0944,5.6295
400,5.6974,0.0202,0.8558,0.0721,1.1321
401,1.1912,0.0128,5.4116,0.0803,5.6491
402,5.7104,0.0148,0.9347,0.0968,1.2166
403,1.2678,0.0224,5.3264,0.1075,5.6569
404,5.7235,0.0192,1.0542,0.1102,1.3619
405,1.4344,0.0524,5.0098,0.1112,5.4347
406,5.5280,0.0291,0.8695,0.0626,1.1279
407,1.1815,0.0206,5.4066,0.1032,5.7163
408,5.8107,0.0197,0.8548,0.0922,1.1395
409,1.2421,0.0224,5.3126,0.1162,5.6733
410,5.8655,0.0303,0.8652,0.0645,1.1304
411,1.1798,0.0133,5.6964,0.0925,5.9666
412,6.0432,0.0209,0.8332,0.0600,1.0960
413,1.1383,0.0150,4.9658,0.0897,5.2351
414,5.3042,0.0255,0.8633,0.1218,1.2332
415,1.3109,0.0238,6.9116,0.1201,7.3665
416,7.4650,0.0348,0.6446,0.0657,1.0637
417,1.1230,0.0223,3.9252,0.0966,4.2804
418,4.3531,0.0282,0.8113,0.0711,1.1157
419,1.1629,0.0140,5.0515,0.1171,5.3724
420,5.5193,0.0255,0.8374,0.1316,1.1491
421,1.2007,0.0186,5.4469,0.2410,5.8661
422,5.9737,0.0226,0.9641,0.0652,1.1785
423,1.2373,0.0160,5.1129,0.1110,5.3590
424,5.4984,0.0303,0.9462,0.0768,1.1813
425,1.2499,0.0249,5.2598,0.1137,5.5443
426,5.6718,0.0279,0.8380,0.1354,1.1588
427,1.2244,0.0489,5.3041,0.0891,5.5758
428,5.6845,0.0179,1.0230,0.0887,1.2334
429,1.2792,0.0144,5.3432,0.1613,5.6486
430,5.7313,0.0246,0.9182,0.0967,1.1746
431,1.2496,0.0189,5.1870,0.1003,5.4310
432,5.5089,0.0274,0.9319,0.0671,1.1263
433,1.1718,0.0130,5.6783,0.0859,5.8780
434,5.9281,0.0154,0.9931,0.0565,1.1510
435,1.1902,0.0121,5.3446,0.0837,5.5289
436,5.5815,0.0136,1.0559,0.0816,1.2780
437,1.3373,0.0180,5.4692,0.1320,5.7783
438,5.8545,0.0522,0.8676,0.0806,1.1322
439,1.1947,0.0200,5.3368,0.1804,5.6811
440,5.7809,0.0268,0.8000,0.0801,1.0318
441,1.0952,0.0179,5.3594,0.2212,5.7270
442,5.8300,0.0251,0.9198,0.0874,1.1683
443,1.2271,0.0219,5.2769,0.2356,5.6810
444,5.7982,0.0284,0.9255,0.0806,1.1885
445,1.2615,0.0215,5.0420,0.1020,5.3303
446,5.4577,0.0211,0.8961,0.0844,1.1417
447,1.1848,0.0159,5.3230,0.0985,5.5896
448,5.6631,0.0360,0.9256,0.0985,1.2512
449,1.3086,0.0211,5.3418,0.1217,5.6516
450,5.7315,0.0239,0.9062,0.1225,1.2077
451,1.2679,0.0207,5.2142,0.0997,5.4990
452,5.5715,0.0221,0.9850,0.0839,1.2345
453,1.2903,0.0249,5.5258,0.1018,5.8907
454,5.9896,0.0586,0.8329,0.0803,1.1165
455,1.1773,0.0190,5.1183,0.0921,5.3558
456,5.4275,0.0228,0.9457,0.0729,1.1503
457,1.1950,0.0121,5.6000,0.1710,5.9109
458,6.0054,0.0291,0.8269,0.0693,1.0510
459,1.1074,0.0172,5.4024,0.1019,5.6405
460,5.6995,0.0163,0.9723,0.0598,1.1482
461,1.1850,0.0118,5.5307,0.1635,5.8150
462,5.8833,0.0534,0.8755,0.0901,1.1336
463,1.1875,0.0184,5.2241,0.1069,5.4640
464,5.5687,0.0443,0.8958,0.0913,1.1315
465,1.1821,0.0156,5.4601,0.1005,5.6968
466,5.8044,0.0453,0.8891,0.0823,1.1254
467,1.1753,0.0161,5.4155,0.1169,5.6679
468,5.7691,0.0254,0.9906,0.0713,1.2059
469,1.2541,0.0144,5.3232,0.0954,5.5399
470,5.6032,0.0150,1.0073,0.0829,1.2844
471,1.3474,0.0261,5.2433,0.1192,5.5586
472,5.6328,0.0270,0.9766,0.0608,1.1851
473,1.2271,0.0155,5.4072,0.1043,5.6563
474,5.7241,0.0152,1.0235,0.1008,1.2377
475,1.2923,0.0211,5.2913,0.1093,5.5800
476,5.6526,0.0438,0.9351,0.0905,1.1993
477,1.2614,0.0224,5.2793,0.1105,5.5586
478,5.6204,0.0224,0.9561,0.0662,1.1603
479,1.2023,0.0144,5.4675,0.0810,5.6737
480,5.7414,0.0286,0.9156,0.0710,1.1593
481,1.2191,0.0180,5.4342,0.0906,5.6611
482,5.7256,0.0143,0.9855,0.1102,1.2219
483,1.2729,0.0174,5.3558,0.0860,5.5740
484,5.6375,0.0185,0.8896,0.0947,1.2250
485,1.2729,0.0169,5.3610,0.0971,5.5835
486,5.6449,0.0859,1.0921,0.0830,1.3750
487,1.4307,0.0198,5.2964,0.0822,5.5093
488,5.5767,0.0181,0.9792,0.0544,1.1491
489,1.1862,0.0105,5.4864,0.0889,5.6969
490,5.7820,0.0202,0.9415,0.0577,1.1178
491,1.1587,0.0130,5.4847,0.0770,5.6712
492,5.7485,0.0274,1.0097,0.0896,1.2437
493,1.2944,0.0201,5.3238,0.0925,5.5609
494,5.6249,0.0203,0.9408,0.1524,1.2530
495,1.3040,0.0198,5.3515,0.0970,5.5851
496,5.6689,0.0231,0.9250,0.0668,1.1380
497,1.1900,0.0233,5.4478,0.0841,5.7000
498,5.7598,0.0165,0.9889,0.0579,1.1694
499,1.2581,0.0163,5.4022,0.0709,5.5861
500,5.6405,0.0153,1.0570,0.0639,1.2326
501,1.2822,0.0156,6.8752,0.1282,7.1436
502,7.3592,0.0423,0.6384,0.0727,0.9233
503,0.9850,0.0147,4.3131,0.1097,4.5646
504,4.6337,0.0171,0.9574,0.0726,1.1426
505,1.2038,0.0139,5.0523,0.1027,5.2738
506,5.3382,0.0834,0.8982,0.0950,1.2104
507,1.2611,0.0216,5.4927,0.0818,5.7117
508,5.7756,0.0161,0.9669,0.0600,1.1475
509,1.1854,0.0115,5.4530,0.0981,5.6538
510,5.7275,0.0155,0.9867,0.0967,1.2168
511,1.2675,0.0198,5.3253,0.1077,5.5942
