timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 08:47:39.431, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.72 W, 0x0000000000000001
2026/09/24 08:47:39.691, P0, 1740 MHz, 6101 MHz, 0 %, 74, 19.08 W, 0x0000000000000001
2026/09/24 08:47:39.945, P0, 1740 MHz, 6101 MHz, 0 %, 74, 19.08 W, 0x0000000000000001
2026/09/24 08:47:40.198, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.71 W, 0x0000000000000001
2026/09/24 08:47:40.449, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.71 W, 0x0000000000000001
2026/09/24 08:47:40.703, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.59 W, 0x0000000000000001
2026/09/24 08:47:40.957, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.59 W, 0x0000000000000001
2026/09/24 08:47:41.210, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.73 W, 0x0000000000000001
2026/09/24 08:47:41.474, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.73 W, 0x0000000000000001
2026/09/24 08:47:41.724, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.98 W, 0x0000000000000001
2026/09/24 08:47:41.985, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.98 W, 0x0000000000000001
2026/09/24 08:47:42.240, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.68 W, 0x0000000000000001
2026/09/24 08:47:42.505, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.68 W, 0x0000000000000001
2026/09/24 08:47:42.760, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.83 W, 0x0000000000000001
2026/09/24 08:47:43.024, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.67 W, 0x0000000000000001
2026/09/24 08:47:43.282, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.67 W, 0x0000000000000001
2026/09/24 08:47:43.536, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.51 W, 0x0000000000000001
2026/09/24 08:47:43.794, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.51 W, 0x0000000000000001
2026/09/24 08:47:44.053, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.64 W, 0x0000000000000001
2026/09/24 08:47:44.315, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.64 W, 0x0000000000000001
2026/09/24 08:47:44.579, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.65 W, 0x0000000000000001
2026/09/24 08:47:44.835, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.65 W, 0x0000000000000001
2026/09/24 08:47:45.100, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.77 W, 0x0000000000000001
2026/09/24 08:47:45.356, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.77 W, 0x0000000000000001
2026/09/24 08:47:45.613, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.49 W, 0x0000000000000001
2026/09/24 08:47:45.867, P0, 1740 MHz, 6101 MHz, 0 %, 73, 18.49 W, 0x0000000000000001
