timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 09:01:27.372, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.49 W, 0x0000000000000001
2026/09/24 09:01:27.636, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.48 W, 0x0000000000000001
2026/09/24 09:01:27.899, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.48 W, 0x0000000000000001
2026/09/24 09:01:28.164, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.50 W, 0x0000000000000001
2026/09/24 09:01:28.430, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.50 W, 0x0000000000000001
2026/09/24 09:01:28.696, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.50 W, 0x0000000000000001
2026/09/24 09:01:28.960, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.50 W, 0x0000000000000001
2026/09/24 09:01:29.222, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.50 W, 0x0000000000000001
2026/09/24 09:01:29.488, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.50 W, 0x0000000000000001
2026/09/24 09:01:29.753, P0, 1740 MHz, 6101 MHz, 26 %, 67, 21.47 W, 0x0000000000000001
2026/09/24 09:01:30.014, P0, 1740 MHz, 6101 MHz, 26 %, 67, 21.47 W, 0x0000000000000001
2026/09/24 09:01:30.279, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.49 W, 0x0000000000000001
2026/09/24 09:01:30.545, P0, 1740 MHz, 6101 MHz, 26 %, 67, 21.53 W, 0x0000000000000001
2026/09/24 09:01:30.809, P0, 1740 MHz, 6101 MHz, 26 %, 67, 21.53 W, 0x0000000000000001
2026/09/24 09:01:31.072, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.52 W, 0x0000000000000001
2026/09/24 09:01:31.336, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.52 W, 0x0000000000000001
2026/09/24 09:01:31.601, P0, 1740 MHz, 6101 MHz, 26 %, 67, 21.51 W, 0x0000000000000001
2026/09/24 09:01:31.865, P0, 1740 MHz, 6101 MHz, 26 %, 67, 21.51 W, 0x0000000000000001
2026/09/24 09:01:32.128, P0, 1740 MHz, 6101 MHz, 26 %, 67, 21.52 W, 0x0000000000000001
2026/09/24 09:01:32.379, P0, 1740 MHz, 6101 MHz, 26 %, 67, 21.52 W, 0x0000000000000001
2026/09/24 09:01:32.643, P0, 1740 MHz, 6101 MHz, 26 %, 67, 21.52 W, 0x0000000000000001
2026/09/24 09:01:32.894, P0, 1740 MHz, 6101 MHz, 26 %, 67, 21.52 W, 0x0000000000000001
2026/09/24 09:01:33.159, P0, 1740 MHz, 6101 MHz, 25 %, 67, 33.17 W, 0x0000000000000001
2026/09/24 09:01:33.412, P0, 1740 MHz, 6101 MHz, 25 %, 67, 33.17 W, 0x0000000000000001
2026/09/24 09:01:33.677, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.50 W, 0x0000000000000001
2026/09/24 09:01:33.940, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.50 W, 0x0000000000000001
2026/09/24 09:01:34.202, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.51 W, 0x0000000000000001
2026/09/24 09:01:34.464, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.51 W, 0x0000000000000001
2026/09/24 09:01:34.730, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.43 W, 0x0000000000000001
2026/09/24 09:01:34.995, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.43 W, 0x0000000000000001
2026/09/24 09:01:35.258, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.51 W, 0x0000000000000001
2026/09/24 09:01:35.523, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.51 W, 0x0000000000000001
2026/09/24 09:01:35.788, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.52 W, 0x0000000000000001
2026/09/24 09:01:36.052, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.52 W, 0x0000000000000001
2026/09/24 09:01:36.316, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.52 W, 0x0000000000000001
2026/09/24 09:01:36.581, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.52 W, 0x0000000000000001
2026/09/24 09:01:36.844, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.52 W, 0x0000000000000001
2026/09/24 09:01:37.109, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.52 W, 0x0000000000000001
2026/09/24 09:01:37.374, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.52 W, 0x0000000000000001
2026/09/24 09:01:37.625, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.52 W, 0x0000000000000001
2026/09/24 09:01:37.876, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.52 W, 0x0000000000000001
2026/09/24 09:01:38.141, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.52 W, 0x0000000000000001
2026/09/24 09:01:38.391, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.52 W, 0x0000000000000001
2026/09/24 09:01:38.657, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.54 W, 0x0000000000000001
2026/09/24 09:01:38.922, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.54 W, 0x0000000000000001
2026/09/24 09:01:39.187, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.59 W, 0x0000000000000001
2026/09/24 09:01:39.452, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.59 W, 0x0000000000000001
2026/09/24 09:01:39.702, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.50 W, 0x0000000000000001
2026/09/24 09:01:39.965, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.50 W, 0x0000000000000001
2026/09/24 09:01:40.218, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.59 W, 0x0000000000000001
2026/09/24 09:01:40.481, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.59 W, 0x0000000000000001
2026/09/24 09:01:40.746, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.58 W, 0x0000000000000001
2026/09/24 09:01:41.011, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.58 W, 0x0000000000000001
2026/09/24 09:01:41.276, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.55 W, 0x0000000000000001
2026/09/24 09:01:41.527, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.55 W, 0x0000000000000001
2026/09/24 09:01:41.777, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.57 W, 0x0000000000000001
2026/09/24 09:01:42.041, P0, 1740 MHz, 6101 MHz, 25 %, 68, 21.57 W, 0x0000000000000001
2026/09/24 09:01:42.303, P0, 1740 MHz, 6101 MHz, 24 %, 68, 21.58 W, 0x0000000000000001
2026/09/24 09:01:42.554, P0, 1740 MHz, 6101 MHz, 23 %, 68, 21.56 W, 0x0000000000000001
2026/09/24 09:01:42.805, P0, 1740 MHz, 6101 MHz, 23 %, 68, 21.56 W, 0x0000000000000001
2026/09/24 09:01:43.069, P0, 1740 MHz, 6101 MHz, 24 %, 68, 21.57 W, 0x0000000000000001
2026/09/24 09:01:43.332, P0, 1740 MHz, 6101 MHz, 24 %, 68, 21.57 W, 0x0000000000000001
2026/09/24 09:01:43.597, P0, 1740 MHz, 6101 MHz, 24 %, 68, 22.03 W, 0x0000000000000001
2026/09/24 09:01:43.863, P0, 1740 MHz, 6101 MHz, 24 %, 68, 22.03 W, 0x0000000000000001
2026/09/24 09:01:44.128, P0, 1740 MHz, 6101 MHz, 24 %, 68, 21.56 W, 0x0000000000000001
2026/09/24 09:01:44.394, P0, 1740 MHz, 6101 MHz, 24 %, 68, 21.56 W, 0x0000000000000001
2026/09/24 09:01:44.658, P0, 1740 MHz, 6101 MHz, 24 %, 68, 21.63 W, 0x0000000000000001
